method,covset,caliper,ratio,n,hr,lo,hi
regression,full,,,1800,0.5632643835363447,0.47397011793033356,0.669381367639746
iptw,full,,,1800,0.5878702056649098,0.4934165583903821,0.7004049070341044
psm,full,0.1,1.0,1412,0.5805237054296083,0.4806845453742891,0.7010996625724853
psm,full,0.1,2.0,897,0.6143400257829222,0.48100828029491827,0.7846302917021714
psm,full,0.2,1.0,1412,0.578137101273874,0.4785914312632117,0.6983879903305952
psm,full,0.2,2.0,927,0.6118287936363603,0.4836278895244192,0.7740134116141025
psm,full,0.5,1.0,1412,0.6089911594199575,0.5053154768634834,0.733938003549135
psm,full,0.5,2.0,1026,0.677350701206987,0.541854395091778,0.8467292626608407
regression,drop_age,,,1800,0.5588881791810493,0.4706092166138214,0.6637269007942652
iptw,drop_age,,,1800,0.5885448305236389,0.4947921223744749,0.7000617064673947
psm,drop_age,0.1,1.0,1426,0.5555282068264907,0.4617893853885547,0.6682951110281303
psm,drop_age,0.1,2.0,1149,0.5900696622955361,0.4758379432194234,0.7317243429681912
psm,drop_age,0.2,1.0,1428,0.5767742872465128,0.4800467470753036,0.6929920480776388
psm,drop_age,0.2,2.0,1158,0.5597849285724914,0.44870423782816354,0.6983646238191176
psm,drop_age,0.5,1.0,1428,0.5730335634530238,0.47678593628851934,0.688710467007073
psm,drop_age,0.5,2.0,1173,0.6096473739470675,0.4917894830326554,0.75575003814361
regression,drop_ecog_ps,,,1800,0.5497318250233433,0.4628550093356467,0.6529152182608158
iptw,drop_ecog_ps,,,1800,0.5687344749884699,0.4779827998585362,0.6767166164475821
psm,drop_ecog_ps,0.1,1.0,1396,0.6222354734551511,0.5146412073056662,0.75232410255869
psm,drop_ecog_ps,0.1,2.0,930,0.6627097878974094,0.5212577239278755,0.8425472521838309
psm,drop_ecog_ps,0.2,1.0,1396,0.5943025046830218,0.49115748439220197,0.7191083884420204
psm,drop_ecog_ps,0.2,2.0,945,0.5905077759810013,0.4654256226926699,0.7492054938373728
psm,drop_ecog_ps,0.5,1.0,1396,0.6057765624979605,0.500958795479002,0.7325258024883347
psm,drop_ecog_ps,0.5,2.0,1023,0.6166263077418358,0.48995390261549954,0.7760485249113734
regression,drop_child_pugh_score,,,1800,0.5632514521923191,0.4739548577647387,0.6693721842898247
iptw,drop_child_pugh_score,,,1800,0.5878837808118974,0.493427926862638,0.700421117100456
psm,drop_child_pugh_score,0.1,1.0,1412,0.5616150897950585,0.4648379635444044,0.6785407686594457
psm,drop_child_pugh_score,0.1,2.0,924,0.6409594024695694,0.5052293446547366,0.813153392534829
psm,drop_child_pugh_score,0.2,1.0,1412,0.5928565807124999,0.49138725959037655,0.7152788730971819
psm,drop_child_pugh_score,0.2,2.0,936,0.6530920066585553,0.519912412803225,0.8203865856203936
psm,drop_child_pugh_score,0.5,1.0,1412,0.6004299417734272,0.49820538355009375,0.7236295047819207
psm,drop_child_pugh_score,0.5,2.0,1017,0.6234311362526298,0.4962826078389994,0.7831553544494422
regression,drop_afp_ge_400,,,1800,0.5508705360229967,0.46362174576926274,0.6545386410957743
iptw,drop_afp_ge_400,,,1800,0.5566090222575201,0.46772041698374317,0.6623905914914141
psm,drop_afp_ge_400,0.1,1.0,1436,0.5492856886248202,0.4552851494212881,0.6626940679078855
psm,drop_afp_ge_400,0.1,2.0,924,0.5547379995612371,0.4313532350794066,0.71341588083964
psm,drop_afp_ge_400,0.2,1.0,1436,0.5596076099462833,0.46400036590395194,0.674914720163423
psm,drop_afp_ge_400,0.2,2.0,957,0.6174553607475766,0.482793895620124,0.7896767667831062
psm,drop_afp_ge_400,0.5,1.0,1436,0.5678754434934569,0.4715779153382615,0.6838371960051915
psm,drop_afp_ge_400,0.5,2.0,1017,0.5793659650352259,0.45687715248796207,0.7346940410858973
regression,drop_macrovascular_invasion,,,1800,0.5457739874697632,0.4594774910768848,0.6482782098868963
iptw,drop_macrovascular_invasion,,,1800,0.5671634701613347,0.4767692195011984,0.6746962444890776
psm,drop_macrovascular_invasion,0.1,1.0,1436,0.5804133372813918,0.48232918710673656,0.6984434098108461
psm,drop_macrovascular_invasion,0.1,2.0,930,0.4916491298730354,0.38268583864113465,0.6316378671424676
psm,drop_macrovascular_invasion,0.2,1.0,1438,0.5262676748542756,0.4352574702242139,0.636307667399382
psm,drop_macrovascular_invasion,0.2,2.0,981,0.47983847414363723,0.3731721344227425,0.6169939822132177
psm,drop_macrovascular_invasion,0.5,1.0,1438,0.5642594401748294,0.4684439065133594,0.679673086573348
psm,drop_macrovascular_invasion,0.5,2.0,1011,0.5592139712334572,0.4433459249456878,0.7053640239526364
regression,drop_extrahepatic_spread,,,1800,0.549876378571408,0.4628606936102582,0.6532506127327491
iptw,drop_extrahepatic_spread,,,1800,0.5710642517780331,0.47974071860432077,0.6797721498553398
psm,drop_extrahepatic_spread,0.1,1.0,1392,0.6178865447760453,0.510889657325462,0.7472920556151809
psm,drop_extrahepatic_spread,0.1,2.0,945,0.6046267103412096,0.4740960494353319,0.7710957711911884
psm,drop_extrahepatic_spread,0.2,1.0,1392,0.6069251439695991,0.5008793963249694,0.7354228045418116
psm,drop_extrahepatic_spread,0.2,2.0,972,0.6179173138056399,0.48644200038761976,0.7849277126492452
psm,drop_extrahepatic_spread,0.5,1.0,1392,0.5961236361091963,0.49255127964158796,0.7214749087376949
psm,drop_extrahepatic_spread,0.5,2.0,1047,0.5976683397164197,0.4746442383935294,0.7525793329091663
regression,drop_bclc_C,,,1800,0.5612056842143224,0.47234323667820993,0.6667859207837686
iptw,drop_bclc_C,,,1800,0.584718418445004,0.4908166018238958,0.6965852980488595
psm,drop_bclc_C,0.1,1.0,1416,0.6002520944341834,0.4973072659337015,0.7245069629058216
psm,drop_bclc_C,0.1,2.0,903,0.5969436506796053,0.46661112435012836,0.7636802971274822
psm,drop_bclc_C,0.2,1.0,1416,0.5970219122221883,0.49488014138978814,0.7202454369505508
psm,drop_bclc_C,0.2,2.0,963,0.5495929994003909,0.42988901071208874,0.7026289518068487
psm,drop_bclc_C,0.5,1.0,1416,0.605507866168026,0.5020833403476282,0.7302368880383586
psm,drop_bclc_C,0.5,2.0,1038,0.626081159122771,0.5005462237582131,0.783099740250674
regression,drop_albi_ge2,,,1800,0.556185224766933,0.46833548527016616,0.6605137000682221
iptw,drop_albi_ge2,,,1800,0.5833359478181914,0.48997280788650677,0.6944892094823506
psm,drop_albi_ge2,0.1,1.0,1428,0.5314242674448161,0.44007632764924687,0.6417335682148972
psm,drop_albi_ge2,0.1,2.0,939,0.5461793295791286,0.4273143760438019,0.6981086450246831
psm,drop_albi_ge2,0.2,1.0,1428,0.5596841611274889,0.46455678543521806,0.6742907864826846
psm,drop_albi_ge2,0.2,2.0,960,0.5803588346969278,0.4588102566161008,0.734108211736425
psm,drop_albi_ge2,0.5,1.0,1428,0.5518090003630798,0.45770505437931025,0.6652606738079871
psm,drop_albi_ge2,0.5,2.0,1029,0.6077240264884057,0.4832372713267292,0.7642798150839816
regression,drop_varices_at_baseline,,,1800,0.5764119258127319,0.48549975268472945,0.6843478423662495
iptw,drop_varices_at_baseline,,,1800,0.5950439764099792,0.49984193980578345,0.7083786006419924
psm,drop_varices_at_baseline,0.1,1.0,1410,0.5805142876332193,0.48159631682623905,0.6997496167893104
psm,drop_varices_at_baseline,0.1,2.0,984,0.7162558962733955,0.5726190197310942,0.8959229282801747
psm,drop_varices_at_baseline,0.2,1.0,1410,0.5958762491214575,0.49490013360939267,0.7174548563514845
psm,drop_varices_at_baseline,0.2,2.0,1011,0.6757804454516586,0.5395207189282624,0.8464535177852266
psm,drop_varices_at_baseline,0.5,1.0,1410,0.6054595756894041,0.5034576641839951,0.7281273558287146
psm,drop_varices_at_baseline,0.5,2.0,1047,0.6347148279954258,0.5085155187112695,0.7922332712642439
regression,drop_male,,,1800,0.564029059158223,0.4745899769965633,0.6703234265253223
iptw,drop_male,,,1800,0.5886310392864716,0.4940779249996141,0.7012790551444742
psm,drop_male,0.1,1.0,1410,0.5639822143663287,0.46534531405021723,0.6835266811931895
