epoch	kind	label
1787870649	slide	00 · The ordinary shape of a study
1787870677	slide	01 · The data
1787870703	shell	what arrived
1787870729	prompt	what is this data
1787870835	slide	02 · Cleaning
1787870862	prompt	one table
1787870934	prompt	what is missing
1787871047	slide	03 · Exploring
1787871075	prompt	who are these patients
1787871142	prompt	how do the sites differ
1787871223	prompt	are the arms comparable
1787871315	prompt	what does follow-up look like
1787871376	prompt	a picture
1787871594	slide	04 · Analysis
1787871621	prompt	the naive comparison
1787871737	prompt	account for the differences
1787871839	prompt	does it hold up
1787872050	slide	05 · Writing it up
1787872077	prompt	methods
1787872205	prompt	results
1787872391	prompt	read it back
1787872588	slide	06 · What this was
